OTUID	S1p7	S1p8	S10p7	S10p8	S11p7	S11p8	S12p7	S12p8	S13p7	S13p8	S14p7	S14p8	S15p7	S15p8	S16p7	S16p8	S17p7	S17p8	S18p7	S18p8	S19p7	S19p8	S2p7	S2p8	S20p7	S20p8	S21p7	S21p8	S22p7	S22p8	S23p7	S23p8	S24p7	S24p8	S25p7	S25p8	S26p7	S26p8	S27p7	S27p8	S28p7	S28p8	S29p7	S29p8	S3p8	S30p7	S30p8	S31p7	S31p8	S32p7	S32p8	S33p7	S33p8	S34p7	S34p8	S35p8	S36p7	S36p8	S37p7	S37p8	S38p7	S38p8	S39p7	S39p8	S4p7	S4p8	S40p7	S40p8	S41p7	S41p8	S42p7	S42p8	S43p7	S43p8	S44p7	S44p8	S45p7	S45p8	S46p7	S46p8	S47p7	S48p7	S48p8	S49p7	S49p8	S5p7	S5p8	S50p7	S50p8	S51p7	S51p8	S52p7	S52p8	S53p7	S53p8	S54p7	S54p8	S55p7	S55p8	S56p7	S56p8	S57p7	S57p8	S58p7	S58p8	S59p7	S59p8	S6p7	S6p8	S60p7	S60p8	S61p7	S61p8	S62p7	S62p8	S63p7	S63p8	S64p7	S64p8	S65p7	S65p8	S66p7	S66p8	S67p7	S67p8	S68p7	S68p8	S69p7	S69p8	S70p7	S70p8	S71p7	S71p8	S72p7	S72p8	S73p7	S73p8	S74p7	S74p8	S75p7	S75p8	S76p7	S76p8	S77p7	S77p8	S78p7	S78p8	S79p7	S79p8	S80p7	S80p8	S81p7	S81p8	S82p7	S82p8	S83p7	S83p8	S84p7	S84p8	S85p7	S85p8	S86p7	S86p8	S87p7	S87p8	S88p7	S88p8	S89p7	S89p8	S90p7	S90p8	S91p7	S91p8	S92p7	S92p8	S93p7	S93p8	S94p7	S94p8	S95p7	S95p8	S96p7	S96p8	Taxon
11	0	114563	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	9181	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	85	0	0	0	116	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	38	0	0	0	0	0	0	3	0	0	0	0	34	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17266	4	0	0	0	0	0	0	0	0	0	0	42	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__amylolyticus
12	6	0	0	0	0	0	18133	0	0	0	24	0	0	0	0	0	0	0	0	69	154	0	0	0	0	0	0	0	0	0	0	76350	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	17	0	16	0	0	0	0	0	0	10	0	65	0	254	0	0	0	18	0	0	0	24	0	28	0	27	0	0	0	0	0	17	0	17	0	77	0	16	0	0	4	466	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	73	0	27723	5	0	0	298	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	17	0	34	0	0	0	0	0	0	0	0	0	0	5	124	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__PseudomonasGE
13	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	63	0	0	0	7	0	0	0	0	0	6	0	0	0	4	3	0	0	0	0	0	2	0	0	0	17	0	7	0	3	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	36	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	10	0	0	0	5	0	42751	0	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	16	0	9	0	58026	0	3	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__yanoikuyae
14	0	0	0	0	0	0	0	0	0	11237	0	0	0	0	17	0	69	0	0	265	672	0	0	1230	0	0	0	0	0	0	0	0	0	0	23	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	15966	1734	0	187	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	152	0	0	0	25	0	0	0	34	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	2961	0	0	0	0	0	3674	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	3370	0	2327	0	189	0	7914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	25909	0	26	0	28	0	3296	0	0	0	0	0	0	0	0	0	2578	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__PseudomonasGE
15	6	925	16514	9	1091	122	0	403	0	68	313	448	32	132	0	0	635	0	242	0	26	0	0	12258	0	0	872	0	15	0	109	0	5386	0	1196	0	0	0	0	0	1398	0	3	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	0	0	0	2406	41	411	0	636	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	17	0	93	0	21	172	70	0	10	0	29	0	372	0	532	0	0	0	0	0	449	0	529	0	92	0	0	0	0	0	109	0	1259	0	156	0	0	0	28	0	276	0	0	0	0	0	13139	0	844	0	0	0	0	0	101	0	0	0	74	0	546	0	2851	0	0	0	36	0	0	0	0	0	87	0	2752	0	6436	0	60	0	0	0	89	0	0	0	106	0	743	0	595	0	0	0	13	0	26	0	0	0	1893	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__OxalobacteraceaeFA;s__OxalobacteraceaeFA
16	0	0	29	0	23	0	0	568	51	0	198	0	772	0	1058	0	0	0	14	0	0	0	0	0	0	0	17	0	35	0	26860	0	42	0	506	0	0	0	0	0	26	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	13817	0	0	0	0	0	12	0	11	0	11	0	307	0	30	0	0	0	0	0	6	0	11	210	0	3482	0	0	0	72	0	20	0	125	0	162	0	35	0	0	0	0	0	22	0	18	0	71	0	43	0	4644	0	717	0	0	0	0	0	0	0	0	0	326	0	0	0	17	0	0	0	42	0	4	0	0	0	119	0	90	0	4810	0	7	0	0	0	0	0	0	0	0	0	0	0	65	0	12	0	4	0	0	0	0	0	17	0	234	0	5935	0	12	0	0	0	0	0	0	0	0	0	12	0	2982	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__flexus
17	0	149	0	0	558	0	0	0	0	0	0	0	0	0	0	0	2705	0	433	0	0	0	0	0	0	0	0	0	23	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5638	0	0	0	0	0	0	0	0	0	0	0	0	2051	0	0	0	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	31	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15563	0	1166	0	0	0	0	0	23	0	0	0	0	0	0	0	272	0	0	0	0	0	35	0	0	0	0	0	18387	0	243	0	0	0	0	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	16	0	0	0	0	0	13441	0	334	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__PaenibacillusGE
18	0	43876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	3552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12744	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__amylolyticus
19	0	0	0	0	0	0	0	484	0	51	9	206	0	217	0	27	0	0	0	0	2	0	0	0	0	0	20	0	0	0	4	0	0	0	18	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	41	0	56247	3	0	0	15	0	0	0	0	0	0	0	31	0	33	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__MesorhizobiumGE
20	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	5	0	0	0	4	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	4	0	36	0	0	240	1061	0	2293	0	32022	0	15644	0	13	0	0	0	0	0	9	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__BradyrhizobiumGE
